teste	myservice1	delay	size	repeat	rampup	threads	samples	avg	min	max	std dev	Err %	throughput	rec kB/s	sem kB/s	avg Bytes	KO	ERR	504	500	404	timeout	conn. Reset	conn. Refused	host unreachable	no HTTP response																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	148	0	0	1	0	10000	10000	76589	1	474578	63847.7045419995	0.6881	20.8864196499436	37.6860176353179	0.877927199078909	1847.6351	KO	6881	0	0	0	5640	718	206	302	5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	149	0	0	1	0	10000	10000	98261	1	316963	64490.5242426371	0.8423	31.4034845306435	68.3437008584535	0.667403781686116	2228.5409	KO	8423	0	0	0	6813	678	363	354	5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	150	0	0	1	0	10000	10000	85031	0	281046	61376.8134800343	0.7991	35.2319850052672	72.8634987111699	0.953885350276395	2117.7411	KO	7991	0	0	0	6219	1113	407	203	6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	151	0	0	1	0	10000	10000	1616	0	15582	2488.55697068095	0	357.117348760803	56.8458279765731	48.1271427040926	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	152	0	0	1	0	10000	10000	96441	0	1059996	197413.583435272	0.4505	9.36605834117741	11.6651073642975	0.693591377021312	1275.3572		4505	0	0	0	3924	42	0	100	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	153	0	0	1	0	10000	10000	52367	1	310632	63985.0497456977	0.559	31.5045965206324	46.8327610736688	1.87236985844985	1522.2143	KO	5590	0	0	0	3598	1043	673	199	11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	154	0	0	1	0	10000	10000	26	0	540	25.1286998818084	0	436.262106273449	69.4440657446994	58.7931354157578	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	155	0	0	1	0	10000	10000	414	0	3192	919.221441437127	0	635.162601626016	101.104984438516	85.5980849847561	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	156	0	0	1	0	10000	10000	580	0	3542	1112.61103116487	0	360.048966659466	57.3124819975517	48.5222240224671	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	157	0	0	1	0	10000	10000	317	0	7106	917.712146335135	0	428.871638718532	68.2676534288288	57.7971544366771	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	158	0	0	1	0	10000	10000	472	0	4092	1016.67333400183	0	413.223140495868	65.7767303719008	55.6882747933884	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	159	0	0	1	0	10000	10000	10347	0	65911	17613.4367182067	0.0007	121.285627653123	19.4947458687083	16.3336918208005	164.5918		7	0	0	0	0	7	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	160	0	0	1	0	10000	10000	4	0	132	8.71123399697196	0	429.442583526583	68.3585362449541	57.8740981705746	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	161	0	0	1	0	10000	10000	361	0	15444	1954.12293940904	0	268.521253457211	42.7431292124272	36.1874345479445	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	162	0	0	1	0	10000	10000	13	0	248	18.5713807023064	0	510.490581448772	81.2597312267089	68.7965822655572	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	163	0	0	1	0	10000	10000	1611	0	7848	2663.55798471707	0	413.274372856139	65.7848855229987	55.6951791544406	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	164	0	0	1	0	10000	10000	607	0	7267	1146.76559440792	0	650.195058517555	103.497846228869	87.6239434330299	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	165	0	0	1	0	10000	10000	20806	1	110667	17096.3181926536	0.0225	85.6956775100264	17.9228659901707	11.2889828297998	214.165		225	0	0	0	0	225	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1	166	0	0	1	0	10000	10000	369	0	3352	790.600467573755	0	510.803493895898	81.3095405322572	68.8387521070644	163		0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
